Depth (cm),PDD (%),Uncertainty (%)
0.10,65.86,15.69
0.30,69.59,15.59
0.50,71.45,15.33
0.70,69.94,15.47
0.90,72.70,15.49
1.10,71.29,14.95
1.30,71.99,14.78
1.50,75.08,14.76
1.70,73.84,14.70
1.90,76.65,14.47
2.10,78.95,14.50
2.30,77.56,14.33
2.50,80.92,13.68
2.70,84.42,13.46
2.90,95.92,12.49
3.10,100.00,12.31
3.30,90.06,12.66
3.50,86.08,13.42
3.70,80.27,13.93
3.90,79.80,14.24
4.10,74.95,14.97
4.30,60.24,15.82
4.50,51.15,17.58
4.70,37.50,20.57
4.90,30.33,24.31
5.10,17.83,31.59
5.30,14.05,38.15
5.50,8.28,47.24
5.70,3.84,68.14
5.90,1.78,91.28
6.10,0.20,57.74
6.30,0.02,33.33
6.50,0.11,33.33
6.70,0.30,57.74
6.90,0.22,47.14
7.10,0.00,0.00
7.30,0.01,33.33
7.50,0.35,53.26
7.70,0.04,57.74
7.90,0.00,0.00
8.10,0.00,0.00
8.30,0.00,0.00
8.50,0.00,33.33
8.70,0.01,33.33
8.90,0.00,0.00
9.10,0.00,0.00
9.30,0.00,0.00
9.50,0.00,0.00
9.70,0.00,47.14
9.90,0.02,57.74
